Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2016,Tot_Dsg_Unts_2016,Tot_Clms_2016,Avg_Spnd_Per_Dsg_Unt_Wghtd_2016,Avg_Spnd_Per_Clm_2016,Outlier_Flag_2016,Tot_Spndng_2017,Tot_Dsg_Unts_2017,Tot_Clms_2017,Avg_Spnd_Per_Dsg_Unt_Wghtd_2017,Avg_Spnd_Per_Clm_2017,Outlier_Flag_2017,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Outlier_Flag_2020,Chg_Avg_Spnd_Per_Dsg_Unt_19_20,CAGR_Avg_Spnd_Per_Dsg_Unt_16_20
Linezolid,Linezolid,1,"Major Pharmaceu","$155,279.63","7,130",289,$21.78,$537.30,1,"$203,999.69","12,734",522,$16.02,$390.80,1,"$115,043.71","12,655",564,$9.09,$203.98,0,"$60,091.39","$9,807.00",457,$6.13,$131.49,1,"$25,794.57","5,827",288,$4.43,$89.56,1,-27.76%,-32.85%
Linezolid,Linezolid,1,"Greenstone LLC.","$1,777,511.65","275,206","1,269",$17.59,"$1,400.72",1,"$1,674,928.09","389,285","1,468",$8.82,"$1,140.96",1,"$1,284,763.08","364,441.6","1,189",$4.41,"$1,080.54",0,"$1,520,614.40","$429,171.20","1,366",$3.82,"$1,113.19",0,"$1,296,395.01","361,476","1,061",$3.75,"$1,221.86",0,-1.78%,-32.03%
Linezolid,Linezolid,1,"Celltrion USA,",,,,,,,,,,,,,,,,,,,,,,,,,"$2,677.20","1,346",56,$1.99,$47.81,1,,0.00%
Linezolid,Linezolid,1,"Camber Pharmace","$529,157.30","17,094",719,$30.96,$735.96,1,"$681,992.94","47,433","2,025",$14.38,$336.79,1,"$665,647.23","88,286","3,763",$7.54,$176.89,0,"$731,028.44","$111,068.67","4,989",$6.58,$146.53,0,"$596,445.16","102,663","4,617",$5.81,$129.18,1,-11.73%,-34.18%
Linezolid,Linezolid,1,"Ascend Laborato","$1,798,823.92","26,470","1,139",$67.96,"$1,579.30",1,"$1,309,831.35","84,427.251","3,764",$15.51,$347.99,1,"$1,618,874.05","185,767.002","8,412",$8.71,$192.45,0,"$2,034,917.01","$300,148.44","13,058",$6.78,$155.84,1,"$1,385,563.33","319,719.316","13,944",$4.33,$99.37,0,-36.08%,-49.75%
Linezolid,Linezolid,1,"Amneal Pharmace","$1,367,897.21","38,775","1,615",$35.28,$847.00,0,"$686,079.08","44,092","1,882",$15.56,$364.55,0,"$242,788.60","25,517","1,140",$9.51,$212.97,1,"$66,979.92","$9,406.00",446,$7.12,$150.18,1,"$9,626.46","2,097",102,$4.59,$94.38,1,-35.53%,-39.94%
Linezolid,Linezolid,1,"Alembic Pharmac","$15,098.09",944,38,$15.99,$397.32,1,"$77,693.01","4,967",211,$15.64,$368.21,0,"$33,414.43","3,633",168,$9.20,$198.90,1,"$13,581.35","$2,519.00",86,$5.39,$157.92,1,$635.33,336,12,$1.89,$52.94,1,-64.93%,-41.36%
Linezolid,Linezolid,1,Ahp,"$30,243.28","1,405",51,$21.53,$593.01,0,"$35,630.10","1,887",89,$18.88,$400.34,1,"$6,401.69",991,77,$6.46,$83.14,1,"$3,464.12",$502.00,40,$6.90,$86.60,1,"$4,903.52",608,41,$8.07,$119.60,1,16.87%,-21.76%
"Linezolid-0.9% NaCl","Linezolid In 0.9% Sodium Chlor",1,Overall,,,,,,,,,,,,,,,,,,,,,,,,,"$42,098.50","241,836",129,$0.17,$326.34,0,,0.00%
"Linezolid-0.9% NaCl","Linezolid In 0.9% Sodium Chlor",1,Hospira/Pfizer,,,,,,,,,,,,,,,,,,,,,,,,,"$42,098.50","241,836",129,$0.17,$326.34,0,,0.00%
Linezolid-D5W,"Linezolid In Dextrose 5%",8,Overall,,,,,,,,,,,,,"$433,855.35","1,761,151.013","1,085",$0.26,$399.87,0,"$493,309.92","$5,229,914.90","1,466",$0.12,$336.50,0,"$470,772.49","2,947,910.034","1,489",$0.16,$316.17,0,35.82%,-21.55%
Linezolid-D5W,"Linezolid In Dextrose 5%",1,"Teva Parenteral",,,,,,,,,,,,,"$17,872.24","94,363",95,$0.19,$188.13,1,"$21,185.24","$114,200.00",86,$0.19,$246.34,1,"$8,636.20","49,900",43,$0.17,$200.84,1,-6.71%,-4.41%
Linezolid-D5W,"Linezolid In Dextrose 5%",1,"Sun Pharmaceuti",,,,,,,,,,,,,"$180,160.19","576,390.738",447,$0.31,$403.04,0,"$294,620.18","$4,145,095.00",894,$0.07,$329.55,0,"$267,651.80","1,484,784.934",672,$0.18,$398.29,0,153.62%,-24.06%
Linezolid-D5W,"Linezolid In Dextrose 5%",1,Sandoz,,,,,,,,,,,,,"$153,893.04","798,377.4",351,$0.19,$438.44,0,"$138,316.66","$791,016.90",351,$0.17,$394.06,0,"$74,356.93","535,929.1",219,$0.14,$339.53,0,-20.65%,-15.16%
Linezolid-D5W,"Linezolid In Dextrose 5%",1,"Sagent Pharmace",,,,,,,,,,,,,,,,,,,"$17,577.98","$52,174.00",39,$0.34,$450.72,1,"$4,992.91","26,416",28,$0.19,$178.32,1,-43.90%,-43.90%
Linezolid-D5W,"Linezolid In Dextrose 5%",1,"Piramal Critica",,,,,,,,,,,,,,,,,,,,,,,,,"$4,242.08","32,856",19,$0.13,$223.27,1,,0.00%
Linezolid-D5W,"Linezolid In Dextrose 5%",1,"Mylan Instituti",,,,,,,,,,,,,"$3,942.73","19,995",14,$0.20,$281.62,1,"$12,063.83","$58,218.00",53,$0.21,$227.62,1,"$17,951.54","108,718",75,$0.17,$239.35,1,-20.32%,-8.49%
Linezolid-D5W,"Linezolid In Dextrose 5%",1,"Fresenius Kabi",,,,,,,,,,,,,,,,,,,,,,,,,"$88,386.35","677,197",416,$0.13,$212.47,0,,0.00%
Linezolid-D5W,"Linezolid In Dextrose 5%",1,"Auromedics Phar",,,,,,,,,,,,,"$77,987.15","272,024.875",178,$0.29,$438.13,0,"$9,546.03","$69,211.00",43,$0.14,$222.00,1,"$4,554.68","32,109",17,$0.14,$267.92,1,2.85%,-29.66%
Linzess,Linaclotide,1,Overall,"$78,969,718.28","7,418,710.5","239,299",$10.64,$330.00,0,"$107,390,906.43","9,220,698.89","297,147",$11.65,$361.41,0,"$125,442,579.53","10,295,351","327,570",$12.18,$382.95,0,"$162,047,764.34","$11,824,342.00","370,231",$13.70,$437.69,0,"$202,419,548.94","14,174,346","421,396",$14.28,$480.35,0,12.48%,7.62%
Linzess,Linaclotide,1,"Allergan Inc.","$78,969,718.28","7,418,710.5","239,299",$10.64,$330.00,0,"$107,390,906.43","9,220,698.89","297,147",$11.65,$361.41,0,"$125,442,579.53","10,295,351","327,570",$12.18,$382.95,0,"$162,047,764.34","$11,824,342.00","370,231",$13.70,$437.69,0,"$202,419,548.94","14,174,346","421,396",$14.28,$480.35,0,4.20%,7.62%
"Lioresal Intrathecal",Baclofen,2,Overall,"$7,822,438.66","302,310.468","9,174",$29.07,$852.67,0,"$8,359,546.60","322,147.645","9,507",$28.87,$879.30,0,"$7,740,443.98","304,457.76","9,375",$27.64,$825.65,0,"$7,186,612.59","$251,273.49","7,881",$30.60,$911.89,0,"$6,479,579.71","220,862","6,776",$31.68,$956.25,0,10.71%,2.17%
"Lioresal Intrathecal",Baclofen,1,"Saol Therapeuti",,,,,,,"$763,153.94","23,177",756,$33.13,"$1,009.46",0,"$4,285,535.69","140,576.26","4,507",$31.81,$950.86,0,"$6,283,892.46","$208,369.45","6,531",$31.90,$962.16,0,"$6,300,553.06","206,377","6,478",$32.21,$972.61,0,0.99%,-0.94%
"Lioresal Intrathecal",Baclofen,1,Medtronic/Saol,"$7,822,438.66","302,310.468","9,174",$29.07,$852.67,0,"$7,596,392.66","298,970.645","8,751",$28.50,$868.06,0,"$3,454,908.29","163,881.5","4,868",$23.79,$709.72,0,"$902,720.13","$42,904.04","1,350",$24.34,$668.68,0,"$179,026.65","14,485",298,$20.08,$600.76,1,-17.51%,-8.83%
"Liothyronine Sodium","Liothyronine Sodium",6,Overall,"$3,553,469.29","5,753,872.862","118,726",$0.64,$29.93,0,"$3,407,069.55","6,577,898.912","135,348",$0.54,$25.17,0,"$3,786,306.15","6,983,070.943","141,947",$0.56,$26.67,0,"$4,374,075.48","$7,291,694.44","142,889",$0.62,$30.61,0,"$4,511,272.42","8,054,567.624","146,039",$0.57,$30.89,0,10.40%,-2.57%
"Liothyronine Sodium","Liothyronine Sodium",1,"Sun Pharmaceuti",,,,,,,,,,,,,,,,,,,,,,,,,"$26,044.58","41,101",814,$0.65,$32.00,0,,0.00%
"Liothyronine Sodium","Liothyronine Sodium",1,"Sigmapharm Labo","$1,805,118.37","3,132,377.3","65,296",$0.60,$27.65,0,"$1,700,159.12","3,307,845.5","68,602",$0.53,$24.78,0,"$2,262,648.75","4,343,719.8","88,321",$0.54,$25.62,0,"$1,980,086.83","$3,360,146.93","65,056",$0.61,$30.44,0,"$1,955,055.19","3,470,002.018","62,174",$0.58,$31.44,0,-4.68%,-0.80%
"Liothyronine Sodium","Liothyronine Sodium",1,"Perrigo Co.","$1,740,668.86","2,610,294.45","53,139",$0.69,$32.76,0,"$1,507,937.54","2,906,400.612","59,378",$0.54,$25.40,0,"$274,011.74","521,656.943","11,875",$0.55,$23.07,0,"$41,748.45","$71,869.80","1,391",$0.60,$30.01,0,"$4,158.30","8,228.78",168,$0.51,$24.75,1,-15.66%,-7.14%
"Liothyronine Sodium","Liothyronine Sodium",1,Mylan,"$7,682.06","11,201.112",291,$0.72,$26.40,1,"$198,972.89","363,652.8","7,368",$0.57,$27.01,0,"$34,499.40","57,612.2","1,313",$0.62,$26.28,0,"$3,493.01","$5,533.00",140,$0.66,$24.95,1,$682.66,"1,570",32,$0.50,$21.33,1,-24.41%,-8.71%
"Liothyronine Sodium","Liothyronine Sodium",1,"Mayne Pharma In",,,,,,,,,,,,,"$1,215,146.26","2,060,082","40,438",$0.60,$30.05,0,"$1,791,160.74","$2,901,098.01","58,221",$0.63,$30.76,0,"$1,454,857.78","2,628,068.706","46,692",$0.57,$31.16,0,-10.36%,-2.99%
"Liothyronine Sodium","Liothyronine Sodium",1,"Greenstone LLC.",,,,,,,,,,,,,,,,,,,"$557,586.45","$953,046.70","18,081",$0.59,$30.84,0,"$1,070,473.91","1,905,597.12","36,159",$0.57,$29.60,0,-3.19%,-3.19%
Lipitor,"Atorvastatin Calcium",1,Overall,"$13,102,552.52","1,438,632.011","37,381",$9.10,$350.51,0,"$953,849.31","103,867.02","5,634",$9.35,$169.30,0,"$865,918.83","81,876.31","4,929",$10.95,$175.68,1,"$812,456.88","$71,886.62","3,436",$11.29,$236.45,0,"$778,665.71","58,695","2,133",$13.36,$365.06,0,18.30%,10.07%
Lipitor,"Atorvastatin Calcium",1,"Pfizer US Pharm","$13,102,552.52","1,438,632.011","37,381",$9.10,$350.51,0,"$953,849.31","103,867.02","5,634",$9.35,$169.30,0,"$865,918.83","81,876.31","4,929",$10.95,$175.68,1,"$812,456.88","$71,886.62","3,436",$11.29,$236.45,0,"$778,665.71","58,695","2,133",$13.36,$365.06,0,18.30%,10.07%
Lipofen,Fenofibrate,1,Overall,"$93,021.92","14,991",457,$6.24,$203.55,0,"$69,490.06","10,563",311,$6.58,$223.44,0,"$59,446.45","11,064",308,$5.43,$193.01,0,"$47,853.11","$8,634.00",213,$5.60,$224.66,1,"$42,239.92","7,830",170,$5.50,$248.47,1,3.00%,-3.10%
Lipofen,Fenofibrate,1,"Kowa Pharmaceut","$93,021.92","14,991",457,$6.24,$203.55,0,"$69,490.06","10,563",311,$6.58,$223.44,0,"$59,446.45","11,064",308,$5.43,$193.01,0,"$47,853.11","$8,634.00",213,$5.60,$224.66,1,"$42,239.92","7,830",170,$5.50,$248.47,1,-1.71%,-3.10%
Lisinopril,Lisinopril,19,Overall,"$40,214,789.45","359,352,849.57","10,119,951",$0.11,$3.97,0,"$50,165,168.67","418,627,633.54","11,659,659",$0.12,$4.30,0,"$55,767,618.41","436,690,003.37","11,835,600",$0.13,$4.71,0,"$56,922,818.86","$429,759,939.48","11,220,213",$0.13,$5.07,0,"$58,099,858.63","440,002,654.08","10,272,955",$0.13,$5.66,0,3.43%,3.93%
Lisinopril,Lisinopril,1,West-Ward/Hikma,,,,,,,,,,,,,"$105,642.99","788,881.1","24,003",$0.13,$4.40,0,"$58,888.95","$515,278.60","15,192",$0.12,$3.88,0,"$13,936.16","170,428.03","4,838",$0.08,$2.88,0,-28.92%,-21.84%
Lisinopril,Lisinopril,1,"Teva USA","$391,834.04","3,462,309.709","103,127",$0.11,$3.80,0,"$214,917.51","957,863.537","29,601",$0.22,$7.26,0,"$51,451.35","381,043.282","11,772",$0.13,$4.37,0,"$10,611.14","$90,804.05","2,671",$0.12,$3.97,0,"$2,689.21","15,809",452,$0.16,$5.95,0,41.44%,9.88%
Lisinopril,Lisinopril,1,"Solco Healthcar","$3,106,944.63","29,369,552.914","833,550",$0.11,$3.73,0,"$9,250,315.70","75,639,143.969","2,140,082",$0.12,$4.32,0,"$15,171,085.85","116,903,042.9","3,243,692",$0.13,$4.68,0,"$10,411,929.32","$77,247,207.69","2,126,415",$0.13,$4.90,0,"$15,467,145.81","117,833,030.64","2,881,240",$0.13,$5.37,0,-2.57%,5.55%
Lisinopril,Lisinopril,1,Sandoz,"$6,725,776.16","67,599,410.013","1,926,463",$0.10,$3.49,0,"$8,534,902.09","77,484,380.827","2,197,699",$0.11,$3.88,0,"$996,499.79","7,434,410.652","215,133",$0.13,$4.63,0,"$180,309.37","$1,361,518.25","40,015",$0.13,$4.51,0,"$51,063.49","467,666.8","13,217",$0.11,$3.86,0,-17.51%,2.34%
Lisinopril,Lisinopril,1,"Ranbaxy Pharmac",$549.22,"9,210",289,$0.06,$1.90,1,$502.97,"7,860",242,$0.06,$2.08,1,$360.08,"21,358",685,$0.02,$0.53,1,$618.05,"$26,584.00",765,$0.02,$0.81,1,$711.10,"22,968",620,$0.03,$1.15,1,39.71%,-14.22%
Lisinopril,Lisinopril,1,"Qualitest/Par P",,,,,,,"$956,762.56","5,854,010.101","158,001",$0.16,$6.06,0,"$677,241.82","4,246,299.405","89,096",$0.19,$7.60,0,"$53,434.66","$242,888.39","6,449",$0.22,$8.29,0,$989.24,"15,109",435,$0.07,$2.27,1,-70.25%,-26.42%
Lisinopril,Lisinopril,1,"Mylan Instituti","$104,857.27","70,228.542","4,907",$1.54,$21.37,1,"$30,779.36","57,880.64","4,518",$0.64,$6.81,0,"$28,974.46","39,310.01","3,760",$0.82,$7.71,0,"$14,532.90","$16,498.69","1,574",$1.03,$9.23,0,"$2,002.32","2,513",371,$0.74,$5.40,1,-27.89%,-16.69%
Lisinopril,Lisinopril,1,Mylan,"$983,269.58","8,927,841.43","266,816",$0.11,$3.69,0,"$1,355,322.47","10,012,713.06","291,033",$0.14,$4.66,0,"$844,102.12","5,862,718.961","174,023",$0.14,$4.85,0,"$133,384.64","$1,184,055.37","35,481",$0.11,$3.76,0,"$5,541.50","148,294","4,184",$0.04,$1.32,0,-66.96%,-23.77%
Lisinopril,Lisinopril,1,"Mckesson Packag","$238,619.22","29,662.04","2,507",$8.05,$95.18,1,"$52,184.51","36,254.5","2,066",$1.56,$25.26,1,"$10,769.00","21,589.75","1,915",$0.50,$5.62,0,"$12,242.47","$26,190.25","2,132",$0.47,$5.74,0,"$9,381.85","23,915.25","1,730",$0.41,$5.42,0,-11.92%,-52.36%
Lisinopril,Lisinopril,1,"Major Pharmaceu","$266,607.44","741,100.018","24,579",$0.38,$10.85,0,"$180,491.86","673,524.94","20,933",$0.28,$8.62,0,"$127,155.51","563,673.5","19,344",$0.22,$6.57,0,"$52,059.37","$154,392.86","7,812",$0.34,$6.66,0,"$39,018.44","233,162.28","8,046",$0.17,$4.85,0,-48.71%,-18.04%
Lisinopril,Lisinopril,1,"Lupin Pharmaceu","$24,048,580.55","210,094,887.94","5,837,476",$0.11,$4.12,0,"$24,739,293.06","208,934,247.98","5,732,700",$0.12,$4.32,0,"$28,666,883.26","227,343,198.56","6,099,744",$0.13,$4.70,0,"$36,257,461.32","$274,173,371.67","7,066,873",$0.13,$5.13,0,"$32,227,736.95","242,609,497.91","5,563,982",$0.13,$5.79,0,0.43%,3.80%
Lisinopril,Lisinopril,1,"Legacy Pharmace","$111,990.74","1,312,706.7","37,660",$0.09,$2.97,0,"$2,643,758.54","25,534,810","691,065",$0.10,$3.83,0,"$5,498,719.75","51,959,959","1,349,666",$0.11,$4.07,0,"$5,278,159.10","$51,098,874.12","1,250,372",$0.10,$4.22,0,"$5,399,825.04","52,846,525.33","1,123,271",$0.10,$4.81,0,-1.08%,4.62%
Lisinopril,Lisinopril,1,"Exelan Pharmace","$12,690.32","116,280","3,599",$0.11,$3.53,0,"$392,590.47","734,071.75","19,009",$0.53,$20.65,0,"$572,733.09","1,404,824","33,025",$0.41,$17.34,0,"$1,111,971.24","$1,782,465.00","41,231",$0.62,$26.97,0,"$1,148,927.35","1,749,906","33,909",$0.66,$33.88,0,5.48%,56.73%
Lisinopril,Lisinopril,1,"Camber Pharmace","$15,488.68","174,432","5,449",$0.09,$2.84,0,"$2,457.51","29,153",927,$0.08,$2.65,0,"$2,009.80","20,028",653,$0.10,$3.08,1,$958.48,"$13,041.00",396,$0.07,$2.42,1,$160.83,"7,275",202,$0.02,$0.80,1,-70.55%,-29.79%
Lisinopril,Lisinopril,1,"Bluepoint Labor","$481,192.29","3,705,135.567","111,136",$0.13,$4.33,0,"$1,351,158.81","9,723,276.181","280,506",$0.14,$4.82,0,"$2,510,448.52","16,453,772.05","472,414",$0.15,$5.31,0,"$2,884,986.07","$18,746,778.03","532,999",$0.15,$5.41,0,"$2,965,356.68","19,126,701.395","515,756",$0.15,$5.75,0,0.69%,4.63%
Lisinopril,Lisinopril,1,"Aurobindo Pharm","$10,624.00","152,154","4,959",$0.07,$2.14,0,"$2,065.83","14,997",473,$0.14,$4.37,1,"$4,928.28","43,194","1,444",$0.12,$3.41,1,"$4,170.73","$75,492.00","1,544",$0.07,$2.70,1,"$2,043.43","54,094","1,625",$0.04,$1.26,1,-43.50%,-14.19%
Lisinopril,Lisinopril,1,Ahp,"$29,920.10","34,929.502","2,350",$0.98,$12.73,0,"$52,474.80","34,270","3,153",$1.49,$16.64,1,"$23,631.98","10,472","1,928",$2.87,$12.26,1,"$10,053.64","$12,289.50","3,085",$0.93,$3.26,0,"$77,468.17","21,396.5","2,686",$3.11,$28.84,1,233.84%,33.62%
Lisinopril,Lisinopril,1,Actavis/Teva,,,,,,,,,,,,,"$444,051.13","2,924,463.2","85,079",$0.15,$5.22,0,"$440,722.27","$2,940,015.00","83,670",$0.15,$5.27,0,"$685,321.10","4,632,231.95","115,816",$0.15,$5.92,0,-0.97%,-1.10%
Lisinopril,Lisinopril,1,"Accord Healthca","$3,685,845.21","33,553,009.194","955,084",$0.11,$3.86,0,"$405,190.62","2,899,176.05","87,651",$0.14,$4.62,0,"$30,929.63","267,765","8,224",$0.12,$3.76,0,"$6,325.14","$52,195.00","1,537",$0.12,$4.12,1,$539.96,"22,130",575,$0.02,$0.94,1,-79.93%,-31.43%
Lisinopril-Hydrochlorothiazide,Lisinopril/Hydrochlorothiazide,11,Overall,"$10,070,024.69","87,721,837.36","2,369,032",$0.11,$4.25,0,"$11,002,115.36","91,417,472.601","2,431,645",$0.12,$4.52,0,"$11,770,887.13","94,004,732.969","2,424,146",$0.13,$4.86,0,"$11,909,536.63","$89,151,960.80","2,199,898",$0.13,$5.41,0,"$11,944,594.72","86,428,520.686","1,900,094",$0.14,$6.29,0,6.67%,4.81%
Lisinopril-Hydrochlorothiazide,Lisinopril/Hydrochlorothiazide,1,West-Ward/Hikma,,,,,,,,,,,,,"$41,649.53","380,195","10,763",$0.11,$3.87,0,"$19,510.16","$184,948.00","5,200",$0.11,$3.75,0,"$1,215.02","15,008",431,$0.08,$2.82,1,-23.72%,-14.28%
Lisinopril-Hydrochlorothiazide,Lisinopril/Hydrochlorothiazide,1,"Teva USA","$47,993.70","427,856","12,551",$0.11,$3.82,0,"$23,207.18","201,882","5,922",$0.12,$3.92,0,"$9,245.93","90,738","2,677",$0.10,$3.45,0,"$1,494.54","$15,162.00",466,$0.10,$3.21,1,$103.43,"2,520",77,$0.04,$1.34,1,-60.23%,-23.05%
Lisinopril-Hydrochlorothiazide,Lisinopril/Hydrochlorothiazide,1,"Solco Healthcar",,,,,,,,,,,,,"$10,043.87","86,416","2,206",$0.12,$4.55,0,"$28,010.93","$203,618.00","5,334",$0.14,$5.25,0,"$4,810.71","35,821",904,$0.14,$5.32,0,-1.69%,8.25%
Lisinopril-Hydrochlorothiazide,Lisinopril/Hydrochlorothiazide,1,Sandoz,"$636,650.37","6,812,625.5","190,504",$0.09,$3.34,0,"$295,538.42","3,087,155","83,052",$0.10,$3.56,0,"$82,133.74","767,979","21,124",$0.11,$3.89,0,"$20,349.06","$201,133.00","5,540",$0.10,$3.67,0,"$5,564.11","94,768","2,656",$0.06,$2.09,0,-43.36%,-11.22%
Lisinopril-Hydrochlorothiazide,Lisinopril/Hydrochlorothiazide,1,Mylan,"$2,031.01","21,409",661,$0.09,$3.07,0,"$6,387.73","87,366","2,665",$0.07,$2.40,0,"$6,471.20","84,129","2,528",$0.08,$2.56,0,"$10,658.25","$88,108.00","2,633",$0.12,$4.05,0,"$2,164.38","30,280",951,$0.07,$2.28,1,-39.42%,-6.19%
Lisinopril-Hydrochlorothiazide,Lisinopril/Hydrochlorothiazide,1,"Lupin Pharmaceu","$9,372,538.77","80,387,255.86","2,163,343",$0.12,$4.33,0,"$10,038,681.77","81,274,885.601","2,164,863",$0.12,$4.64,0,"$10,007,723.92","76,989,174.969","1,989,680",$0.13,$5.03,0,"$9,822,815.47","$72,554,269.40","1,796,053",$0.14,$5.47,0,"$9,165,911.20","64,994,880.156","1,435,880",$0.14,$6.38,0,4.05%,4.87%
Lisinopril-Hydrochlorothiazide,Lisinopril/Hydrochlorothiazide,1,"Legacy Pharmace",,,,,,,"$636,151.64","6,752,676","174,755",$0.09,$3.64,0,"$1,292,372.68","13,241,839","330,963",$0.10,$3.90,0,"$1,466,208.49","$12,614,364.00","297,990",$0.12,$4.92,0,"$1,474,023.49","12,435,876","251,909",$0.12,$5.85,0,1.88%,7.78%
Lisinopril-Hydrochlorothiazide,Lisinopril/Hydrochlorothiazide,1,"Exelan Pharmace",,,,,,,,,,,,,,,,,,,$39.57,$510.00,15,$0.08,$2.64,1,"$23,229.53","170,771","3,850",$0.14,$6.03,0,74.31%,74.31%
Lisinopril-Hydrochlorothiazide,Lisinopril/Hydrochlorothiazide,1,"Cipla USA, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,"$234,447.82","2,075,952","43,591",$0.11,$5.38,0,,0.00%
Lisinopril-Hydrochlorothiazide,Lisinopril/Hydrochlorothiazide,1,"Aurobindo Pharm","$10,810.84","72,691","1,973",$0.15,$5.48,0,"$2,148.62","13,508",388,$0.16,$5.54,1,"$1,540.03","16,185",521,$0.09,$2.96,1,"$1,162.86","$15,486.00",397,$0.07,$2.93,1,$924.56,"14,969",411,$0.06,$2.25,1,-12.41%,-19.94%
Lisinopril-Hydrochlorothiazide,Lisinopril/Hydrochlorothiazide,1,Actavis/Teva,,,,,,,,,,,,,"$319,706.23","2,348,077","63,684",$0.14,$5.02,0,"$539,287.30","$3,274,362.40","86,270",$0.17,$6.25,0,"$1,032,200.47","6,557,675.53","159,434",$0.16,$6.47,0,-4.60%,7.25%
Lithium,"Lithium Citrate",2,Overall,"$247,549.14","2,285,983.5","5,663",$0.11,$43.71,0,"$318,000.32","2,416,229.7","6,027",$0.13,$52.76,0,"$598,324.75","2,378,475.005","5,937",$0.25,$100.78,0,"$676,284.33","$2,447,375.80","6,112",$0.28,$110.65,0,"$226,840.13","789,271.733","2,283",$0.29,$99.36,0,9.84%,27.57%
Lithium,"Lithium Citrate",1,"Precision Dose","$2,535.51","11,522.5",38,$0.22,$66.72,1,"$2,578.11","10,416",42,$0.25,$61.38,1,"$2,160.89","8,859.5",34,$0.24,$63.56,1,"$1,900.12","$7,875.00",27,$0.24,$70.37,1,"$1,726.25","6,299",40,$0.27,$43.16,1,13.58%,5.64%
Lithium,"Lithium Citrate",1,Roxane/West-War,"$245,013.63","2,274,461","5,625",$0.11,$43.56,0,"$315,422.21","2,405,813.7","5,985",$0.13,$52.70,0,"$596,163.86","2,369,615.505","5,903",$0.25,$100.99,0,"$674,384.21","$2,439,500.80","6,085",$0.28,$110.83,0,"$225,113.88","782,972.733","2,243",$0.29,$100.36,0,4.00%,27.82%
"Lithium Carbonate","Lithium Carbonate",7,Overall,"$3,996,754.78","29,449,510.25","410,057",$0.14,$9.75,0,"$4,917,121.47","34,585,371.531","485,427",$0.15,$10.13,0,"$7,537,777.22","53,376,402.397","754,263",$0.14,$9.99,0,"$7,685,681.40","$51,021,675.46","734,560",$0.15,$10.46,0,"$7,506,944.18","49,683,076.56","710,019",$0.15,$10.57,0,6.64%,2.49%
"Lithium Carbonate","Lithium Carbonate",1,"Glenmark Pharma","$767,012.45","7,389,124","104,122",$0.11,$7.37,0,"$770,036.95","6,278,200.611","90,030",$0.13,$8.55,0,"$1,067,496.05","7,738,054.75","113,792",$0.14,$9.38,0,"$1,545,265.65","$10,265,675.99","153,841",$0.16,$10.04,0,"$1,910,826.00","11,842,298","182,082",$0.17,$10.49,0,6.95%,10.57%
"Lithium Carbonate","Lithium Carbonate",1,"Camber Pharmace","$797,633.98","10,030,901","132,772",$0.08,$6.01,0,"$1,611,177.05","16,027,867.17","214,812",$0.10,$7.50,0,"$2,503,424.97","22,442,911.097","299,568",$0.11,$8.36,0,"$2,578,406.17","$21,242,875.00","286,712",$0.12,$8.99,0,"$2,488,575.44","20,800,593.5","278,670",$0.12,$8.93,0,-1.55%,9.94%
"Lithium Carbonate","Lithium Carbonate",1,West-Ward/Mylan,"$41,763.80","440,510","6,011",$0.10,$6.95,0,"$19,562.10","214,644","3,050",$0.09,$6.41,0,"$9,164.74","118,622","1,634",$0.08,$5.61,0,"$1,409.73","$17,881.00",257,$0.08,$5.49,1,$190.90,"4,238",55,$0.05,$3.47,1,-43.09%,-16.82%
"Lithium Carbonate","Lithium Carbonate",1,"Alembic Pharmac",,,,,,,,,,,,,$808.59,"5,711",72,$0.15,$11.23,1,"$34,824.79","$239,139.00","3,280",$0.15,$10.62,0,"$37,006.55","237,250","3,622",$0.16,$10.22,0,9.50%,4.35%
"Lithium Carbonate","Lithium Carbonate",1,Roxane/West-War,"$2,339,455.98","11,340,929.75","163,590",$0.21,$14.30,0,"$2,482,177.45","11,898,398.75","175,328",$0.21,$14.16,0,"$2,192,207.01","10,522,191.55","158,556",$0.21,$13.83,0,"$1,685,543.68","$8,017,645.50","126,284",$0.21,$13.35,0,"$1,411,912.88","7,164,896.16","108,033",$0.20,$13.07,0,-6.09%,-0.55%
"Lithium Carbonate","Lithium Carbonate",1,West-Ward/Hikma,,,,,,,,,,,,,"$1,468,260.12","11,140,011.5","161,903",$0.13,$9.07,0,"$1,011,366.95","$7,332,330.97","111,927",$0.14,$9.04,0,"$728,586.06","5,304,060.407","79,128",$0.14,$9.21,0,-0.64%,2.29%
